,SOC,Price (EUR/kWh),Charge from Grid,Charge from PV,Use Battery,Use PV,Sell PV,Buy from Grid,Normalized Load Profile,Total Profit
2023-01-01 00:00:00+00:00,3.5777088,-0.00517,4,0,0,0,8.29E-09,97.461589,97.46158911,24000.42456
2023-01-01 01:00:00+00:00,0,-0.00107,1,0,4,0,4.88E-09,66.152301,70.15230064,24000.49641
2023-01-01 02:00:00+00:00,0,-0.00147,4,0,3.2,0,7.80E-09,53.172384,56.37238445,24000.58045
2023-01-01 03:00:00+00:00,3.5777088,-0.00508,4,0,0,0,7.80E-09,51.61205,51.61204976,24000.86296
2023-01-01 04:00:00+00:00,2.8445825,-0.00449,4,0,3.8557281,0,1.46E-08,44.499251,48.35497866,24001.08073
2023-01-01 05:00:00+00:00,6.4222912,-0.0054,4,0,0,0,1.90E-08,48.354979,48.35497866,24001.36345
2023-01-01 06:00:00+00:00,10,-0.00502,4,0,0,0,9.75E-09,50.860418,50.86041797,24001.63885
2023-01-01 07:00:00+00:00,9.1055728,-0.0013,4,0,4,0,1.37E-08,58.134895,62.13489486,24001.71962
2023-01-01 08:00:00+00:00,10,-0.00144,4,0,2.4,0,1.02E-05,107.58879,109.9887857,24001.88133
2023-01-01 09:00:00+00:00,10,-0.00109,4,0,3.2,0,6.67E-05,168.92368,172.1236805,24002.07648
2023-01-01 10:00:00+00:00,9.1055728,-0.00107,4,0,4,0,0.000127068,212.97104,216.9710441,24002.32135
2023-01-01 11:00:00+00:00,10,-0.00107,4,0,2.4,0,0.000168564,250.14828,252.5482823,24002.61014
2023-01-01 12:00:00+00:00,10,-0.00079,4,0,3.2,0,0.000176473,254.10862,257.308617,24002.8317
2023-01-01 13:00:00+00:00,10,-0.00027,4,0,3.2,0,0.000154901,212.01724,215.2172366,24002.90551
2023-01-01 14:00:00+00:00,10,0.00085,0,0,0,0,9.96E-05,169.61824,169.6182412,24002.7713
2023-01-01 15:00:00+00:00,10,0.02353,0,0,0,0,3.58E-05,145.31548,145.3154799,23999.3556
2023-01-01 16:00:00+00:00,10,0.03654,0,0,0,0,2.08E-06,133.03883,133.0388273,23994.49457
2023-01-01 17:00:00+00:00,10,0.04603,0,0,0,0,2.97E-08,156.33941,156.3394129,23987.29827
2023-01-01 18:00:00+00:00,6.4222912,0.05557,0,0,3.2,0,1.46E-08,191.47263,194.6726343,23976.65814
2023-01-01 19:00:00+00:00,6.4222912,0.05495,0,0,0,0,8.78E-09,219.22594,219.2259395,23964.61167
2023-01-01 20:00:00+00:00,6.4222912,0.04923,0,0,0,0,1.27E-08,199.43297,199.432969,23954.79359
2023-01-01 21:00:00+00:00,6.4222912,0.04499,0,0,0,0,1.51E-08,168.61607,168.6160655,23947.20755
2023-01-01 22:00:00+00:00,6.4222912,0.04596,0,0,0,0,1.56E-08,142.81004,142.8100406,23940.644
2023-01-01 23:00:00+00:00,10,0.035,4,0,0,0,1.51E-08,105.22845,105.228451,23936.82101
2023-01-02 00:00:00+00:00,6.4222912,0.05791,0,0,3.2,0,1.37E-08,94.261589,97.46158911,23931.36232
