,SOC,Price (EUR/kWh)
2022-12-31 23:00:00+00:00,0.0,
2023-01-01 00:00:00+00:00,3.5777088,-0.00517
2023-01-01 01:00:00+00:00,0.0,-0.00107
2023-01-01 02:00:00+00:00,0.0,-0.00147
2023-01-01 03:00:00+00:00,3.5777088,-0.00508
2023-01-01 04:00:00+00:00,2.8445825,-0.00449
2023-01-01 05:00:00+00:00,6.4222912,-0.0054
2023-01-01 06:00:00+00:00,10.0,-0.005019999999999999
2023-01-01 07:00:00+00:00,9.1055728,-0.0013
2023-01-01 08:00:00+00:00,10.0,-0.0014399999999999999
2023-01-01 09:00:00+00:00,10.0,-0.00109
2023-01-01 10:00:00+00:00,9.1055728,-0.00107
2023-01-01 11:00:00+00:00,10.0,-0.00107
2023-01-01 12:00:00+00:00,10.0,-0.00079
2023-01-01 13:00:00+00:00,10.0,-0.00027
2023-01-01 14:00:00+00:00,10.0,0.00085
2023-01-01 15:00:00+00:00,10.0,0.023530000000000002
2023-01-01 16:00:00+00:00,10.0,0.036539999999999996
2023-01-01 17:00:00+00:00,10.0,0.04603
2023-01-01 18:00:00+00:00,6.4222912,0.05557
2023-01-01 19:00:00+00:00,6.4222912,0.054950000000000006
2023-01-01 20:00:00+00:00,6.4222912,0.049229999999999996
2023-01-01 21:00:00+00:00,6.4222912,0.04499
2023-01-01 22:00:00+00:00,6.4222912,0.04596
2023-01-01 23:00:00+00:00,10.0,0.035
2023-01-02 00:00:00+00:00,6.4222912,0.057909999999999996
2023-01-02 01:00:00+00:00,6.4222912,0.05167
2023-01-02 02:00:00+00:00,6.4222912,0.05293
2023-01-02 03:00:00+00:00,10.0,0.044090000000000004
2023-01-02 04:00:00+00:00,10.0,0.05008
2023-01-02 05:00:00+00:00,10.0,0.06972
2023-01-02 06:00:00+00:00,10.0,0.10507999999999999
2023-01-02 07:00:00+00:00,10.0,0.14064
2023-01-02 08:00:00+00:00,10.0,0.14598
2023-01-02 09:00:00+00:00,10.0,0.14705000000000001
2023-01-02 10:00:00+00:00,10.0,0.14561000000000002
2023-01-02 11:00:00+00:00,10.0,0.14335
2023-01-02 12:00:00+00:00,10.0,0.14438
2023-01-02 13:00:00+00:00,10.0,0.14376
2023-01-02 14:00:00+00:00,10.0,0.1482
2023-01-02 15:00:00+00:00,10.0,0.15534
2023-01-02 16:00:00+00:00,10.0,0.16288999999999998
2023-01-02 17:00:00+00:00,5.527864,0.17
2023-01-02 18:00:00+00:00,1.0557281,0.17474
2023-01-02 19:00:00+00:00,0.0,0.16446
2023-01-02 20:00:00+00:00,0.0,0.153
2023-01-02 21:00:00+00:00,0.0,0.14167
2023-01-02 22:00:00+00:00,0.0,0.13491
2023-01-02 23:00:00+00:00,0.0,0.12422
2023-01-03 00:00:00+00:00,0.0,0.13001
2023-01-03 01:00:00+00:00,0.0,0.12
2023-01-03 02:00:00+00:00,0.0,0.11876
2023-01-03 03:00:00+00:00,3.5777088,0.115
2023-01-03 04:00:00+00:00,7.1554175,0.11363
2023-01-03 05:00:00+00:00,10.0,0.11627
2023-01-03 06:00:00+00:00,10.0,0.13892
