Haushalt H0;;
Datum;Zeit;Wirkleistung [kW]
01.01.2011;00:15:00;0,109
01.01.2011;00:30:00;0,101
01.01.2011;00:45:00;0,093
01.01.2011;01:00:00;0,086
01.01.2011;01:15:00;0,079
01.01.2011;01:30:00;0,072
01.01.2011;01:45:00;0,067
01.01.2011;02:00:00;0,062
01.01.2011;02:15:00;0,059
01.01.2011;02:30:00;0,057
01.01.2011;02:45:00;0,055
01.01.2011;03:00:00;0,054
01.01.2011;03:15:00;0,053
01.01.2011;03:30:00;0,052
01.01.2011;03:45:00;0,051
01.01.2011;04:00:00;0,05
01.01.2011;04:15:00;0,049
01.01.2011;04:30:00;0,048
01.01.2011;04:45:00;0,048
01.01.2011;05:00:00;0,048
01.01.2011;05:15:00;0,048
01.01.2011;05:30:00;0,048
01.01.2011;05:45:00;0,048
01.01.2011;06:00:00;0,049
01.01.2011;06:15:00;0,049
01.01.2011;06:30:00;0,05
01.01.2011;06:45:00;0,051
01.01.2011;07:00:00;0,053
01.01.2011;07:15:00;0,055
01.01.2011;07:30:00;0,058
01.01.2011;07:45:00;0,063
01.01.2011;08:00:00;0,072
01.01.2011;08:15:00;0,085
01.01.2011;08:30:00;0,101
01.01.2011;08:45:00;0,118
01.01.2011;09:00:00;0,135
01.01.2011;09:15:00;0,151
01.01.2011;09:30:00;0,166
01.01.2011;09:45:00;0,179
01.01.2011;10:00:00;0,191
01.01.2011;10:15:00;0,202
01.01.2011;10:30:00;0,212
01.01.2011;10:45:00;0,221
01.01.2011;11:00:00;0,231
01.01.2011;11:15:00;0,24
01.01.2011;11:30:00;0,249
01.01.2011;11:45:00;0,257
01.01.2011;12:00:00;0,262
01.01.2011;12:15:00;0,263
01.01.2011;12:30:00;0,261
01.01.2011;12:45:00;0,256
01.01.2011;13:00:00;0,247
01.01.2011;13:15:00;0,235
01.01.2011;13:30:00;0,222
01.01.2011;13:45:00;0,208
01.01.2011;14:00:00;0,194
01.01.2011;14:15:00;0,183
01.01.2011;14:30:00;0,173
01.01.2011;14:45:00;0,164
01.01.2011;15:00:00;0,157
01.01.2011;15:15:00;0,152
01.01.2011;15:30:00;0,147
01.01.2011;15:45:00;0,143
01.01.2011;16:00:00;0,138
01.01.2011;16:15:00;0,135
01.01.2011;16:30:00;0,132
01.01.2011;16:45:00;0,131
01.01.2011;17:00:00;0,133
01.01.2011;17:15:00;0,14
01.01.2011;17:30:00;0,15
01.01.2011;17:45:00;0,161
01.01.2011;18:00:00;0,173
01.01.2011;18:15:00;0,182
01.01.2011;18:30:00;0,191
01.01.2011;18:45:00;0,198
01.01.2011;19:00:00;0,206
01.01.2011;19:15:00;0,213
01.01.2011;19:30:00;0,219
01.01.2011;19:45:00;0,222
01.01.2011;20:00:00;0,221
01.01.2011;20:15:00;0,215
01.01.2011;20:30:00;0,205
01.01.2011;20:45:00;0,193
01.01.2011;21:00:00;0,183
01.01.2011;21:15:00;0,176
01.01.2011;21:30:00;0,17
01.01.2011;21:45:00;0,166
01.01.2011;22:00:00;0,161
01.01.2011;22:15:00;0,155
01.01.2011;22:30:00;0,147
01.01.2011;22:45:00;0,139
01.01.2011;23:00:00;0,129
01.01.2011;23:15:00;0,119
01.01.2011;23:30:00;0,11
01.01.2011;23:45:00;0,1
02.01.2011;00:00:00;0,091
02.01.2011;00:15:00;0,109
02.01.2011;00:30:00;0,101
02.01.2011;00:45:00;0,093
02.01.2011;01:00:00;0,086
02.01.2011;01:15:00;0,079
02.01.2011;01:30:00;0,072
02.01.2011;01:45:00;0,067
02.01.2011;02:00:00;0,062
02.01.2011;02:15:00;0,059
02.01.2011;02:30:00;0,057
02.01.2011;02:45:00;0,055
02.01.2011;03:00:00;0,054
02.01.2011;03:15:00;0,053
02.01.2011;03:30:00;0,052
02.01.2011;03:45:00;0,051
02.01.2011;04:00:00;0,05
02.01.2011;04:15:00;0,049
02.01.2011;04:30:00;0,048
02.01.2011;04:45:00;0,048
02.01.2011;05:00:00;0,048
02.01.2011;05:15:00;0,048
02.01.2011;05:30:00;0,048
02.01.2011;05:45:00;0,048
02.01.2011;06:00:00;0,049
02.01.2011;06:15:00;0,049
02.01.2011;06:30:00;0,05
02.01.2011;06:45:00;0,051
02.01.2011;07:00:00;0,053
02.01.2011;07:15:00;0,055
02.01.2011;07:30:00;0,058
02.01.2011;07:45:00;0,064
02.01.2011;08:00:00;0,073
02.01.2011;08:15:00;0,085
02.01.2011;08:30:00;0,101
02.01.2011;08:45:00;0,118
02.01.2011;09:00:00;0,136
02.01.2011;09:15:00;0,152
02.01.2011;09:30:00;0,166
02.01.2011;09:45:00;0,18
02.01.2011;10:00:00;0,192
